"","R_region","R_age","R_edu","R_income","R_health","R_height","R_happy","A_height","A_edu","A_income"
"320","Central West",30,"Never attended school",100,"Good",155,"Somewhat happy",170,"Never attended school",100
"321","Central West",60,"Never attended school",0,"Not good",150,"Not too happy",170,"Never attended school",0
"322","Central West",26,"Elementary school",200,"Excellent",150,"Not too happy",170,"Elementary school",200
"323","Central West",59,"Never attended school",200,"Fair",158,"Somewhat happy",162,"Junior high school",200
"324","Central West",61,"Never attended school",60,"Good",157,"Somewhat happy",157,"Junior high school",60
"325","Central West",28,"Junior high school",80,"Good",158,"Somewhat happy",170,"Junior high school",80
"326","Central West",35,"Junior high school",70,"Good",154,"Somewhat happy",170,"Senior high school",70
"327","Central West",26,"Elementary school",40,"Excellent",165,"Very happy",173,"Senior high school",40
"328","Central West",35,"Junior high school",100,"Excellent",154,"Very happy",170,"Elementary school",100
"329","Central West",36,"Elementary school",60,"Excellent",160,"Somewhat happy",170,"Junior high school",60
"330","Central West",53,"Elementary school",40,"Fair",154,"Somewhat happy",170,"Elementary school",40
"331","Central West",39,"Elementary school",200,"Good",160,"Very happy",172,"Junior high school",200
"332","Central West",33,"Elementary school",100,"Not good",160,"Somewhat happy",178,"Senior high school",100
"333","Central West",32,"Never attended school",60,"Excellent",161,"Very happy",162,"Elementary school",60
"334","Central West",50,"Never attended school",40,"Good",158,"Somewhat happy",175,"Junior high school",40
"335","Central West",44,"Never attended school",80,"Excellent",158,"Very happy",182,"Never attended school",80
"336","Inlands",50,"Never attended school",40,"Not good",150,"Somewhat happy",170,"Never attended school",100
"337","Inlands",36,"Elementary school",300,"Good",160,"Somewhat happy",165,"Senior high school",300
"338","Inlands",39,"Never attended school",30,"Good",160,"Somewhat happy",170,"Junior high school",30
"339","Inlands",35,"Elementary school",100,"Fair",150,"Somewhat happy",170,"Elementary school",200
"340","Inlands",30,"Elementary school",80,"Not good",160,"Somewhat happy",165,"Elementary school",80
"341","Inlands",30,"Never attended school",40,"Excellent",155,"Somewhat happy",165,"Junior high school",300
"342","Inlands",50,"Elementary school",200,"Fair",157,"Somewhat happy",165,"Elementary school",500
"343","Inlands",37,"Elementary school",100,"Good",155,"Somewhat happy",165,"Senior high school",300
"344","Inlands",40,"Elementary school",100,"Fair",156,"Somewhat happy",160,"Elementary school",200
"345","Inlands",43,"Elementary school",300,"Good",155,"Somewhat happy",160,"Elementary school",300
"346","Inlands",49,"Elementary school",10,"Excellent",150,"Not too happy",165,"Elementary school",10
"347","Inlands",41,"Never attended school",200,"Not good",156,"Not too happy",175,"Junior high school",200
"348","Inlands",31,"Elementary school",80,"Good",157,"Somewhat happy",168,"Elementary school",80
"349","Inlands",33,"Elementary school",200,"Not good",160,"Not too happy",160,"Elementary school",200
"350","Inlands",33,"Never attended school",200,"Not good",150,"Not too happy",170,"Elementary school",200
"351","Inlands",50,"Elementary school",60,"Good",157,"Somewhat happy",165,"Junior high school",60
"352","Inlands",37,"Elementary school",40,"Not good",158,"Not too happy",170,"Senior high school",40
"353","Inlands",42,"Elementary school",80,"Good",156,"Somewhat happy",160,"Elementary school",80
"354","Inlands",35,"Elementary school",200,"Good",150,"Somewhat happy",165,"Junior high school",200
"355","Inlands",23,"Junior high school",200,"Excellent",163,"Somewhat happy",167,"Elementary school",200
"356","Inlands",26,"Elementary school",80,"Good",157,"Not too happy",162,"Junior high school",80
"357","Inlands",27,"Elementary school",70,"Excellent",155,"Somewhat happy",160,"Elementary school",70
"358","Inlands",43,"Never attended school",200,"Good",157,"Somewhat happy",165,"Elementary school",200
"359","Inlands",43,"Elementary school",100,"Excellent",158,"Somewhat happy",158,"Elementary school",100
"360","Inlands",47,"Elementary school",60,"Fair",145,"Very unhappy",167,"Elementary school",60
"361","Inlands",27,"Elementary school",100,"Good",155,"Somewhat happy",155,"Elementary school",100
"362","Inlands",40,"Elementary school",50,"Not good",156,"Not too happy",157,"Junior high school",50
"363","Inlands",43,"Never attended school",40,"Good",166,"Somewhat happy",167,"Elementary school",40
"364","Inlands",43,"Elementary school",300,"Good",150,"Somewhat happy",162,"Elementary school",400
"365","Inlands",23,"Junior high school",300,"Good",163,"Somewhat happy",173,"Elementary school",300
"366","Inlands",34,"Elementary school",80,"Good",150,"Very happy",160,"Junior high school",80
"367","Inlands",35,"Elementary school",200,"Excellent",156,"Very happy",160,"Junior high school",500
"368","Inlands",42,"Junior high school",900,"Excellent",154,"Somewhat happy",172,"Senior high school",500
"369","Inlands",50,"Elementary school",80,"Good",150,"Somewhat happy",160,NA,300
"370","Inlands",58,"Junior high school",400,"Good",159,"Somewhat happy",165,"Elementary school",600
"371","Inlands",24,"Senior high school",200,"Fair",160,"Somewhat happy",170,"Senior high school",700
"372","Inlands",55,"Senior high school",300,"Fair",160,"Not too happy",170,"Junior college",800
"373","Inlands",28,"Senior high school",500,"Good",162,"Somewhat happy",176,"Senior high school",600
"374","Inlands",26,"Junior college",1000,"Fair",165,"Not too happy",175,"University",800
"375","Inlands",52,"Senior high school",600,"Good",161,"Very unhappy",179,"University",600
"376","Inlands",33,"Senior high school",500,"Excellent",154,"Very happy",167,"Elementary school",700
"377","Inlands",34,"Junior high school",0,"Good",158,"Somewhat happy",180,"Senior high school",100
"378","Inlands",37,"Senior high school",100,"Good",165,"Somewhat happy",176,"Junior high school",100
"379","Inlands",28,"Senior high school",300,"Good",165,"Somewhat happy",170,"Senior high school",300
"380","Inlands",57,"University",1000,"Good",162,"Somewhat happy",173,"University",1000
"381","Inlands",55,"Elementary school",300,"Good",155,"Not too happy",175,"Junior high school",400
"382","Inlands",49,"Never attended school",300,"Good",151,"Somewhat happy",174,"Junior high school",1000
"383","Inlands",37,"Senior high school",300,"Not good",162,"Somewhat happy",173,"Senior high school",300
"384","Inlands",38,"Senior high school",500,"Fair",155,"Somewhat happy",176,"Senior high school",300
"385","Inlands",52,"Junior high school",600,"Good",166,"Not too happy",172,"Junior high school",400
"386","Inlands",46,"Senior high school",800,"Good",168,"Not too happy",172,"Senior high school",300
"387","Inlands",60,"Senior high school",500,"Good",150,"Not too happy",168,"Junior high school",1000
"388","Inlands",34,"Junior high school",0,"Good",152,"Somewhat happy",165,"Senior high school",600
"389","Inlands",59,"Elementary school",200,"Good",158,"Somewhat happy",160,"Elementary school",400
"390","Inlands",50,"Elementary school",200,"Excellent",158,"Somewhat happy",158,"Junior high school",500
"391","Inlands",38,"Senior high school",400,"Fair",160,"Somewhat happy",170,"Junior college",500
"392","Inlands",45,"Senior high school",900,"Good",154,"Somewhat happy",164,"University",1000
"393","Inlands",37,"Senior high school",400,"Good",157,"Somewhat happy",176,"Senior high school",800
"394","Inlands",43,"Senior high school",900,"Excellent",162,"Very happy",161,"Junior high school",1000
"395","Inlands",32,"Junior high school",500,"Poor",158,"Somewhat happy",170,"University",2000
"396","Inlands",47,"Junior college",1000,"Fair",152,"Very happy",168,"Junior college",1000
"397","Inlands",54,"Junior high school",400,"Not good",159,"Not too happy",162,"Junior high school",400
"398","Inlands",48,"Junior high school",200,"Fair",154,"Very happy",167,"Junior high school",800
"399","Inlands",45,"Junior high school",900,"Good",153,"Not too happy",173,"Junior high school",500
"400","Inlands",23,"Senior high school",300,"Good",157,"Very happy",165,"Junior high school",600
"401","Inlands",52,"Senior high school",1000,"Good",157,"Somewhat happy",171,"Senior high school",1000
"402","Inlands",63,"Elementary school",200,"Not good",150,"Somewhat happy",160,"University",800
"403","Inlands",46,"Senior high school",600,"Fair",158,"Somewhat happy",170,"Junior high school",600
"404","Inlands",59,"Elementary school",400,"Good",163,"Somewhat happy",168,"Elementary school",400
"405","Inlands",38,"Junior college",1000,"Good",160,"Somewhat happy",178,"Senior high school",1000
"406","Inlands",60,"Junior high school",400,"Not good",154,"Somewhat happy",162,"Junior high school",1000
"407","Inlands",61,"Elementary school",600,"Poor",156,"Somewhat happy",178,"Junior high school",1000
"408","Inlands",58,"Junior high school",600,"Good",160,"Somewhat happy",174,"Junior high school",1000
"409","Inlands",45,"Junior high school",900,"Excellent",157,"Somewhat happy",163,"Junior high school",1000
"410","Coastal South",37,"Senior high school",600,"Good",175,"Somewhat happy",177,"Junior high school",1000
"411","Coastal South",30,"Junior high school",300,"Excellent",140,"Very happy",163,"Junior high school",500
"412","Coastal South",30,"Junior high school",600,"Fair",167,"Somewhat happy",170,"Junior high school",500
"413","Coastal South",42,"Senior high school",500,"Good",150,"Somewhat happy",170,"Junior high school",500
"414","Coastal South",30,"Senior high school",1000,"Not good",155,"Somewhat happy",163,"Junior college",1000
"415","Coastal South",43,"Senior high school",400,"Good",157,"Somewhat happy",170,"Senior high school",1000
"416","Coastal South",40,"Junior high school",1000,"Excellent",161,"Very happy",175,"Senior high school",1000
"417","Coastal South",43,"Never attended school",400,"Excellent",160,"Very happy",170,"Junior high school",800
"418","Coastal South",50,"Junior high school",900,"Fair",157,"Somewhat happy",170,"Senior high school",900
"419","Coastal South",39,"Senior high school",400,"Excellent",150,"Very happy",170,"Senior high school",1000
"420","Coastal South",44,"Senior high school",200,"Not good",156,"Not too happy",177,"Senior high school",1000
"421","Coastal South",44,"Senior high school",600,"Fair",156,"Somewhat happy",158,"University",1000
"422","Coastal South",32,"Elementary school",500,"Fair",156,"Somewhat happy",167,"Junior high school",800
"423","Coastal South",50,"Senior high school",2000,"Fair",153,"Very happy",164,"Elementary school",1000
"424","Coastal South",40,"Senior high school",600,"Fair",155,"Somewhat happy",163,"Senior high school",1000
"425","Coastal South",23,"Senior high school",2000,"Good",163,"Somewhat happy",170,"University",5000
"426","Coastal South",28,"Senior high school",600,"Good",157,"Somewhat happy",173,"Senior high school",700
"427","Coastal South",26,"Senior high school",600,"Excellent",163,"Somewhat happy",170,"Junior high school",800
"428","Coastal South",22,"Junior high school",500,"Excellent",158,"Somewhat happy",162,"Elementary school",2000
"429","Coastal South",30,"Junior high school",500,"Excellent",160,"Somewhat happy",175,"Senior high school",500
"430","Coastal South",59,"Junior college",1000,"Not good",157,"Somewhat happy",170,"Senior high school",1000
"431","Coastal South",38,"Junior college",1000,"Fair",167,"Somewhat happy",172,"Senior high school",3000
"432","Coastal South",48,"Junior high school",400,"Not good",158,"Very happy",160,"Junior college",1000
"433","Coastal South",39,"Senior high school",600,"Excellent",153,"Very happy",163,"Junior high school",600
"434","Coastal South",27,"Junior college",1000,"Good",163,"Somewhat happy",173,"Junior college",1000
"435","Coastal South",34,"Junior high school",600,"Excellent",155,"Somewhat happy",175,"Junior high school",800
"436","Coastal South",35,"Junior college",1000,"Not good",158,"Not too happy",165,"Senior high school",400
"437","Coastal South",24,"Junior high school",600,"Excellent",164,"Very happy",170,"Junior high school",1000
"438","Coastal South",28,"Senior high school",700,"Not good",158,"Somewhat happy",170,"Senior high school",2000
"439","Coastal South",55,"Senior high school",800,"Not good",152,"Very unhappy",170,"University",1000
"440","Coastal South",40,"Senior high school",1000,"Fair",162,"Somewhat happy",174,"University",2000
"441","Coastal South",27,"Senior high school",1000,"Good",160,"Somewhat happy",170,"Senior high school",2000
"442","Coastal South",25,"Junior college",900,"Fair",148,"Somewhat happy",170,"Senior high school",2000
"443","Coastal South",36,"University",3000,"Fair",163,"Somewhat happy",172,"University",10000
"444","Coastal South",55,"Elementary school",0,"Good",140,"Very happy",169,"Elementary school",600
"445","Coastal South",50,"Senior high school",400,"Good",159,"Very happy",174,"University",3000
"446","Coastal South",41,"Senior high school",1000,"Good",164,"Somewhat happy",176,"Senior high school",1000
"447","Coastal South",40,"Junior high school",500,"Excellent",163,"Somewhat happy",160,"Senior high school",500
"448","Coastal South",35,"Junior high school",800,"Excellent",163,"Somewhat happy",168,"Senior high school",1000
"449","Coastal South",35,"Junior high school",400,"Fair",156,"Somewhat happy",160,"Junior high school",800
"450","Coastal South",42,"Junior college",10000,"Fair",158,"Very happy",160,"Senior high school",5000
"451","Coastal South",44,"Senior high school",800,"Good",162,"Very happy",173,"Senior high school",500
"452","Coastal South",43,"Senior high school",500,"Fair",164,"Somewhat happy",164,"Senior high school",500
"453","Coastal South",33,"Junior college",2000,"Good",159,"Somewhat happy",180,"Senior high school",3000
"454","Coastal South",30,"Elementary school",700,"Excellent",158,"Somewhat happy",168,"Elementary school",800
"455","Coastal South",38,"Senior high school",500,"Good",156,"Somewhat happy",171,"Senior high school",300
"456","Coastal South",37,"Junior college",800,"Good",157,"Somewhat happy",173,"Junior college",800
"457","Coastal South",36,"Senior high school",1000,"Fair",163,"Somewhat happy",170,"Senior high school",2000
"458","Coastal South",40,"Senior high school",1000,"Excellent",157,"Very happy",169,"Senior high school",3000
"459","Coastal South",57,"Junior high school",500,"Fair",156,"Not too happy",174,"Junior high school",800
"460","Coastal South",43,"Elementary school",500,"Fair",158,"Somewhat happy",170,"Senior high school",500
"461","Coastal South",29,"Junior high school",500,"Excellent",154,"Somewhat happy",169,"Junior high school",700
"462","Coastal South",34,"Senior high school",600,"Good",156,"Somewhat happy",171,"Senior high school",2000
"463","Coastal South",45,"Senior high school",600,"Fair",149,"Not too happy",168,"Senior high school",1000
"464","Coastal South",31,"Junior high school",0,"Fair",160,"Somewhat happy",170,"Senior high school",2000
"465","Coastal South",31,"Senior high school",700,"Good",155,"Somewhat happy",169,"Junior college",3000
"466","Coastal South",41,"Elementary school",0,"Not good",150,"Somewhat happy",164,"Senior high school",900
"467","Coastal South",36,"Senior high school",2000,"Fair",160,"Somewhat happy",168,"Senior high school",2000
"468","Coastal South",64,"Never attended school",200,"Good",156,"Very happy",166,"Elementary school",2000
"469","Coastal South",35,"Senior high school",1000,"Good",164,"Somewhat happy",176,"Senior high school",5000
"470","Coastal South",42,"Junior high school",700,"Good",154,"Somewhat happy",164,"Senior high school",1000
"471","Coastal South",28,"Junior high school",500,"Fair",162,"Not too happy",170,"Junior high school",500
"472","Coastal South",27,"Junior high school",2000,"Good",159,"Somewhat happy",162,"Junior high school",500
"473","Coastal South",29,"Junior high school",400,"Good",161,"Somewhat happy",168,"Senior high school",2000
"474","Coastal South",54,"Junior high school",400,"Good",153,"Somewhat happy",165,"Elementary school",600
"475","Coastal South",45,"Junior high school",800,"Good",159,"Somewhat happy",169,"Junior high school",800
"476","Coastal South",23,"Junior college",1000,"Not good",160,"Not too happy",163,"Senior high school",4000
"477","Coastal South",46,"Junior high school",600,"Good",157,"Very happy",162,"Senior high school",3000
"478","Coastal South",29,"Senior high school",300,"Good",167,"Somewhat happy",167,"Junior college",1000
"479","Coastal South",39,"Senior high school",800,"Fair",154,"Not too happy",168,"Elementary school",900
"480","Coastal South",28,"Senior high school",800,"Good",152,"Somewhat happy",170,"Senior high school",900
"481","Coastal South",33,"Junior college",1000,"Good",154,"Somewhat happy",171,"Junior college",4000
"482","Coastal South",42,"Junior high school",700,"Good",158,"Very happy",168,"Junior high school",800
"483","Coastal South",62,"Junior high school",1000,"Fair",152,"Somewhat happy",167,"Junior high school",1000
"484","Coastal South",20,"Junior high school",600,"Excellent",165,"Somewhat happy",173,"Senior high school",1000
"485","Coastal South",23,"Senior high school",500,"Excellent",163,"Very happy",171,"Junior high school",700
"486","Coastal South",61,"Elementary school",0,"Good",151,"Very happy",165,"Elementary school",700
"487","Coastal South",36,"Junior high school",1000,"Excellent",158,"Somewhat happy",178,"Elementary school",1000
"488","Coastal South",46,"Junior high school",500,"Good",156,"Very happy",176,"Junior high school",2000
"489","Coastal South",38,"Senior high school",1000,"Good",160,"Very happy",170,"Senior high school",2000
"490","Coastal South",40,"Senior high school",300,"Good",160,"Somewhat happy",165,"Senior high school",500
"491","Coastal South",36,"Elementary school",1000,"Excellent",160,"Somewhat happy",175,"Senior high school",500
"492","Coastal South",23,"Junior college",1000,"Fair",163,"Very happy",171,"Junior college",2000
"493","Coastal South",42,"Senior high school",1000,"Good",152,"Somewhat happy",168,"Junior high school",1000
"494","Coastal South",47,"Junior high school",800,"Good",150,"Somewhat happy",165,"Junior high school",800
"495","Coastal South",27,"Elementary school",500,"Excellent",153,"Somewhat happy",160,"Junior high school",900
"496","Coastal South",42,"Junior college",2000,"Good",158,"Somewhat happy",170,"Senior high school",2000
"497","Coastal South",34,"Junior high school",500,"Excellent",153,"Somewhat happy",168,"Junior high school",2000
"498","Coastal South",43,"Senior high school",1000,"Good",148,"Very happy",174,"Senior high school",1000
"499","Coastal South",55,"Junior high school",700,"Fair",165,"Somewhat happy",166,"University",800
"500","Coastal South",33,"University",2000,"Good",156,"Somewhat happy",177,"University",2000
"501","Coastal South",51,"Senior high school",2000,"Fair",148,"Somewhat happy",168,"Senior high school",2000
"502","Coastal South",29,"Senior high school",800,"Fair",159,"Somewhat happy",172,"Senior high school",1000
"503","Coastal South",28,"Junior high school",800,"Fair",158,"Somewhat happy",172,"Junior college",800
"504","Coastal South",41,"Senior high school",1000,"Good",158,"Very happy",170,"University",2000
"505","Coastal South",41,"Elementary school",400,"Excellent",165,"Not too happy",165,"Senior high school",300
"506","Coastal South",43,"Never attended school",400,"Good",157,"Somewhat happy",168,"Junior high school",600
"507","Coastal South",59,"Never attended school",300,"Fair",150,"Somewhat happy",170,"Elementary school",500
"508","Coastal South",41,"Senior high school",1000,"Fair",148,"Not too happy",170,"Senior high school",1000
"509","Coastal South",27,"Elementary school",1000,"Good",163,"Somewhat happy",170,"Junior high school",1000
"510","Coastal South",37,"Senior high school",800,"Fair",156,"Somewhat happy",165,"Senior high school",1000
"511","Coastal South",38,"Senior high school",700,"Fair",165,"Somewhat happy",170,"Senior high school",2000
"512","Coastal South",48,"Elementary school",600,"Fair",160,"Somewhat happy",160,"Senior high school",700
"513","Coastal South",25,"Elementary school",500,"Fair",152,"Not too happy",160,"Senior high school",800
"514","Coastal South",44,"Junior high school",700,"Fair",163,"Somewhat happy",170,"Elementary school",800
"515","Coastal South",22,"Senior high school",2000,"Good",159,"Somewhat happy",168,"Junior high school",8000
"516","Coastal South",51,"Senior high school",900,"Fair",151,"Somewhat happy",163,"Elementary school",500
"517","Coastal South",36,"Senior high school",0,"Fair",160,"Not too happy",170,"Senior high school",1000
"518","Coastal South",45,"Elementary school",400,"Fair",156,"Not too happy",169,"Senior high school",1000
"519","Coastal South",28,"Senior high school",0,"Good",168,"Somewhat happy",170,"Senior high school",900
"520","Coastal South",48,"Junior high school",300,"Good",158,"Somewhat happy",167,"Senior high school",700
"521","Coastal South",30,"Junior high school",1000,"Good",158,"Somewhat happy",163,"Junior high school",3000
"522","Coastal South",22,"Junior high school",1000,"Fair",156,"Somewhat happy",160,"Senior high school",2000
"523","Coastal South",21,"Elementary school",1000,"Excellent",158,"Very happy",170,"Junior high school",1000
"524","Coastal South",38,"Senior high school",500,"Fair",160,"Somewhat happy",170,"Senior high school",2000
"525","Coastal South",33,"Senior high school",400,"Fair",155,"Somewhat happy",170,"Senior high school",2000
"526","Coastal South",53,"Senior high school",600,"Fair",155,"Somewhat happy",165,"Senior high school",600
"527","Coastal South",35,"Senior high school",0,"Good",156,"Somewhat happy",175,"Senior high school",1000
"528","Coastal South",60,"Senior high school",700,"Fair",160,"Somewhat happy",173,"Junior high school",2000
"529","Coastal South",20,"Senior high school",1000,"Good",167,"Somewhat happy",170,"Senior high school",1000
"530","Coastal South",46,"Senior high school",600,"Fair",158,"Somewhat happy",170,"Junior high school",600
"531","Coastal South",54,"Elementary school",800,"Fair",165,"Somewhat happy",170,"Junior college",1000
"532","Coastal South",45,"Junior high school",900,"Fair",148,"Somewhat happy",172,"Senior high school",500
"533","Coastal South",28,"Senior high school",0,"Fair",163,"Somewhat happy",174,"Senior high school",2000
"534","Coastal South",37,"Junior high school",0,"Fair",156,"Somewhat happy",163,"Senior high school",600
"535","Coastal South",30,"University",2000,"Good",158,"Somewhat happy",174,"University",2000
"536","Coastal South",42,"Senior high school",500,"Excellent",151,"Very happy",169,"Senior high school",1000
"537","Coastal South",28,"Senior high school",400,"Good",146,"Very happy",168,"Senior high school",600
"538","Coastal South",30,"Elementary school",400,"Good",150,"Somewhat happy",160,"Junior high school",400
"539","Coastal South",39,"Junior high school",300,"Good",156,"Somewhat happy",170,"Senior high school",500
"540","Coastal South",35,"Junior high school",500,"Excellent",158,"Very happy",162,"Senior high school",800
"541","Coastal South",60,"Senior high school",200,"Good",162,"Somewhat happy",165,"Junior high school",600
"542","Coastal South",32,"Senior high school",400,"Fair",155,"Not too happy",169,"Senior high school",1000
"543","Coastal South",36,"Senior high school",300,"Good",155,"Not too happy",168,"Junior high school",400
"544","Coastal South",35,"Senior high school",700,"Good",160,"Very happy",178,"Senior high school",1000
"545","Coastal South",48,"Junior high school",200,"Good",156,"Somewhat happy",159,"Senior high school",800
"546","Coastal South",38,"Junior high school",600,"Excellent",158,"Very happy",175,"Senior high school",2000
"547","Coastal South",38,"Junior high school",0,"Excellent",156,"Not too happy",171,"Junior high school",500
"548","Coastal South",33,"Junior high school",300,"Excellent",159,"Somewhat happy",165,"Senior high school",2000
"549","Coastal South",27,"Junior college",500,"Excellent",160,"Very happy",170,"Junior college",600
"550","Coastal South",46,"Junior high school",600,"Good",163,"Very happy",170,"Junior college",1000
"551","Coastal South",35,"Junior high school",400,"Fair",155,"Somewhat happy",168,"Junior high school",500
"552","Coastal South",44,"Junior high school",500,"Excellent",160,"Somewhat happy",170,"Junior high school",800
"553","Coastal South",36,"Junior high school",200,"Good",159,"Not too happy",170,"Senior high school",600
"554","Coastal South",30,"Senior high school",400,"Good",159,"Somewhat happy",167,"Junior college",500
"555","Coastal South",37,"Junior high school",1000,"Fair",153,"Somewhat happy",162,"Senior high school",1000
"556","Coastal South",34,"Senior high school",700,"Excellent",162,"Very happy",169,"Senior high school",900
"557","Coastal South",36,"Junior high school",600,"Good",150,"Somewhat happy",165,"Senior high school",800
"558","Coastal South",23,"Senior high school",400,"Fair",157,"Somewhat happy",170,"Junior high school",600
"559","Coastal South",36,"Senior high school",700,"Good",156,"Somewhat happy",173,"Junior high school",1000
"560","Inlands",24,"Senior high school",400,"Fair",158,"Somewhat happy",168,"Junior college",1000
"561","Inlands",31,"Junior college",0,"Fair",155,"Somewhat happy",169,"Senior high school",400
"562","Inlands",37,"Elementary school",300,"Excellent",160,"Very happy",170,"Senior high school",500
"563","Inlands",43,"Elementary school",30,"Good",158,"Somewhat happy",172,"Junior college",30
"564","Inlands",27,"Junior high school",400,"Fair",163,"Somewhat happy",170,"Junior high school",600
"565","Inlands",42,"Never attended school",0,"Good",152,"Somewhat happy",172,"Elementary school",300
"566","Inlands",37,"Junior high school",400,"Good",157,"Somewhat happy",170,"Junior high school",400
"567","Inlands",37,"Elementary school",400,"Good",161,"Somewhat happy",158,"Junior high school",400
"568","Inlands",32,"Senior high school",400,"Good",159,"Somewhat happy",165,"University",400
"569","Inlands",48,"Junior high school",400,"Fair",158,"Somewhat happy",173,"Senior high school",800
"570","Inlands",41,"Junior high school",800,"Excellent",160,"Somewhat happy",170,"Senior high school",1000
"571","Inlands",45,"Elementary school",200,"Fair",153,"Not too happy",165,"Elementary school",500
"572","Inlands",27,"Junior high school",300,"Excellent",154,"Somewhat happy",170,"Junior high school",400
"573","Inlands",46,"Junior high school",300,"Excellent",160,"Very happy",170,"Senior high school",400
"574","Inlands",30,"Junior high school",400,"Excellent",155,"Not too happy",165,"Junior high school",1000
"575","Inlands",34,"Junior high school",0,"Excellent",164,"Not too happy",167,"Senior high school",2000
"576","Inlands",34,"Junior high school",100,"Good",150,"Very happy",166,"Junior high school",600
"577","Inlands",47,"Elementary school",600,"Excellent",160,"Very happy",170,"Junior high school",700
"578","Inlands",35,"Junior high school",0,"Fair",158,"Somewhat happy",168,"Elementary school",800
"579","Inlands",42,"Elementary school",400,"Fair",163,"Somewhat happy",175,"Junior high school",500
"580","Inlands",30,"Elementary school",500,"Excellent",156,"Somewhat happy",158,"Junior high school",700
"581","Inlands",42,"Elementary school",200,"Good",152,"Somewhat happy",164,"Elementary school",500
"582","Inlands",44,"Elementary school",200,"Good",161,"Somewhat happy",170,"Elementary school",400
"583","Inlands",32,"Junior college",1000,"Fair",155,"Somewhat happy",176,"Junior college",2000
"584","Inlands",44,"Junior high school",800,"Good",162,"Somewhat happy",170,"Senior high school",800
"585","Inlands",35,"Junior high school",400,"Good",153,"Somewhat happy",166,"Junior high school",500
"586","Coastal South",29,"Senior high school",2000,"Fair",160,"Somewhat happy",169,"Junior college",3000
"587","Coastal South",24,"Junior college",2000,"Excellent",156,"Somewhat happy",175,"Junior college",2000
"588","Coastal South",24,"Senior high school",2000,"Fair",155,"Somewhat happy",165,"University",3000
"589","Coastal South",42,"Junior high school",800,"Fair",161,"Somewhat happy",173,"Junior high school",2000
"590","Coastal South",26,"Senior high school",1000,"Excellent",158,"Somewhat happy",175,"Senior high school",2000
"591","Coastal South",30,"Elementary school",1000,"Excellent",155,"Very happy",169,"Junior high school",1000
"592","Coastal South",21,"Senior high school",2000,"Not good",153,"Not too happy",175,"University",6000
"593","Coastal South",30,"Senior high school",1000,"Fair",168,"Somewhat happy",178,"Junior college",2000
"594","Coastal South",38,"Junior high school",2000,"Excellent",159,"Very happy",169,"Junior high school",2000
"595","Coastal South",31,"Junior high school",0,"Fair",160,"Not too happy",170,"Senior high school",10000
"596","Coastal South",31,"University",2000,"Good",160,"Somewhat happy",170,"University",4000
"597","Coastal South",23,"Senior high school",2000,"Good",163,"Somewhat happy",176,"Junior college",2000
"598","Coastal South",31,"Senior high school",1000,"Good",160,"Somewhat happy",170,"Junior college",2000
"599","Coastal South",34,"Junior high school",300,"Fair",150,"Not too happy",168,"Junior high school",1000
"600","Coastal South",35,"Junior high school",2000,"Fair",170,"Somewhat happy",175,"Junior high school",2000
"601","Coastal South",35,"Junior high school",800,"Fair",155,"Somewhat happy",165,"Junior high school",800
"602","Coastal South",44,"University",2000,"Fair",168,"Not too happy",172,"University",2000
"603","Coastal South",38,"Junior high school",1000,"Fair",156,"Somewhat happy",178,"Senior high school",3000
"604","Coastal South",23,"Senior high school",1000,"Good",155,"Somewhat happy",160,"Senior high school",2000
"605","Coastal South",31,"Elementary school",600,"Good",158,"Somewhat happy",160,"Junior high school",3000
"606","Coastal South",35,"Senior high school",500,"Not good",155,"Somewhat happy",170,"Senior high school",800
"607","Coastal South",38,"Senior high school",200,"Good",161,"Somewhat happy",170,"Junior high school",600
"608","Coastal South",27,"Junior high school",600,"Excellent",154,"Very happy",170,"Senior high school",700
"609","Coastal South",25,"Junior high school",2000,"Excellent",155,"Very happy",163,"Junior high school",10000
"610","Coastal South",24,"Senior high school",700,"Good",160,"Somewhat happy",180,"Senior high school",1000
"611","Coastal South",22,"Junior high school",2000,"Excellent",156,"Somewhat happy",173,"Senior high school",2000
"612","Coastal South",29,"Senior high school",600,"Good",160,"Somewhat happy",173,"Senior high school",600
"613","Coastal South",39,"Senior high school",700,"Fair",160,"Somewhat happy",170,"Junior high school",700
"614","Coastal South",33,"Senior high school",600,"Excellent",168,"Very happy",178,"Junior college",1000
"615","Coastal South",34,"Senior high school",700,"Good",151,"Very happy",173,"Senior high school",900
"616","Coastal South",42,"Junior high school",700,"Excellent",163,"Very happy",182,"Senior high school",1000
"617","Coastal South",29,"Senior high school",800,"Fair",160,"Very happy",175,"Junior high school",1000
"618","Coastal South",35,"Junior high school",600,"Excellent",159,"Very happy",167,"Junior high school",1000
"619","Coastal South",27,"Junior high school",2000,"Excellent",162,"Very happy",172,"Junior high school",2000
"620","Coastal South",27,"Junior high school",0,"Excellent",156,"Somewhat happy",170,"Junior high school",1000
"621","Coastal South",32,"Senior high school",1000,"Good",164,"Somewhat happy",172,"University",2000
"622","Coastal South",36,"Junior high school",700,"Good",161,"Somewhat happy",175,"Senior high school",5000
"623","Coastal South",25,"Junior high school",500,"Fair",155,"Not too happy",171,"Senior high school",300
"624","Coastal South",32,"Senior high school",1000,"Fair",158,"Not too happy",168,"Senior high school",400
